Num_Lines,Num_Functions,Has_Recursion,Num_Loops,Num_Conditionals,Difficulty
64,8,1,6,10,2
7,2,1,7,1,2
100,2,0,1,5,2
14,2,0,3,8,1
33,4,1,0,5,1
80,1,1,2,7,2
67,3,0,10,10,2
13,4,1,4,4,1
39,7,1,6,9,2
33,5,1,4,2,1
81,7,0,3,2,2
79,5,0,9,0,2
80,9,0,8,4,2
76,2,1,10,9,2
80,7,1,10,10,2
60,6,1,7,0,2
51,0,1,2,3,2
69,10,0,3,0,2
73,8,1,1,4,2
92,7,1,8,3,2
27,8,0,3,6,2
85,1,1,2,1,2
89,7,1,0,5,2
78,1,1,4,1,2
24,3,0,3,8,1
19,7,1,2,5,2
81,2,0,10,4,2
82,0,0,2,10,2
34,7,1,9,2,2
40,0,0,4,5,1
92,6,0,5,2,2
27,1,1,1,7,1
68,3,1,3,6,2
25,7,1,2,4,2
97,8,0,0,6,2
75,6,1,4,0,2
31,6,1,4,5,2
